id,created_at,screen_name,user_name,user_location,text
593117859783450624,Tue Apr 28 18:21:32 +0000 2015,shanley,Shanley,San Francisco,Really interested in this discussion. Like many women in tech i have experienced finding out i was making half of what i should be #talkpay
593118176969240576,Tue Apr 28 18:22:47 +0000 2015,shanley,Shanley,San Francisco,The ONLY reason i found out? talking to other tech workers in my same role. i had no fucking idea. employer was happy to exploit #talkpay
593118337040719873,Tue Apr 28 18:23:25 +0000 2015,ashedryden,res ipsa loquitur,Mewtropolis,"“On May 1st I will be publicly discussing my job title, my experience and my salary on #talkpay.” http://t.co/QnXDetROaB"
593118739140194304,Tue Apr 28 18:25:01 +0000 2015,shanley,Shanley,San Francisco,May 1st is Friday. i will definitely be contributing to sharing my salary info on #talkpay then. hope other tech workers will join as well.
593119415975051265,Tue Apr 28 18:27:43 +0000 2015,alicegoldfuss,Alice Goldfuss,"Portland, OR",Let's Talk About Pay https://t.co/VETk29L5Su #talkpay
593121762029633537,Tue Apr 28 18:37:02 +0000 2015,tesherista,Cory Teshera,"Minneapolis, MN","Set my own prices as freelance database designer. Clients assume I'm inexperienced/""discount"", or I do graphic design/web frontend #talkpay"
593121913725198336,Tue Apr 28 18:37:38 +0000 2015,meaganewaller,Ms. Andry,clearwater,"Oh man, do I have some things to share on May 1st via #talkpay. I hope you'll join in, too. https://t.co/nbotnUutQX"
593122896370741248,Tue Apr 28 18:41:32 +0000 2015,shanley,Shanley,San Francisco,1 reason i think #talkpay is so important for tech workers is because you look at how these gaps impact ppl's ability to found startups
593123559846838273,Tue Apr 28 18:44:11 +0000 2015,mudlock,Dale,Anchorage AK,"#talkpay: Federal contractor or in CA, CO, LA, ME, MI, MN, NH, NJ, or VT? You CANNOT be punished for discussing pay. http://t.co/6t1Qm0FIi5"
593124628161134592,Tue Apr 28 18:48:25 +0000 2015,VerteDinde,Keeley,,May 1 is International Worker Day. Let's talk about pay inequality: https://t.co/NtpRy6c11n #talkpay
593124793970397187,Tue Apr 28 18:49:05 +0000 2015,VerteDinde,Keeley,,"I'm excited to talk about pay this Friday for #talkpay. I actually consider myself quite fairly compensated by my company, but..."
593125686023323648,Tue Apr 28 18:52:37 +0000 2015,VerteDinde,Keeley,,I also think female employees - entry and executive level - benefit from open salary conversations. All the more reason to #talkpay
593126591309488129,Tue Apr 28 18:56:13 +0000 2015,juliepagano,juliepagano,,Let’s Talk About Pay. I will join in on May 1st to #talkpay. &lt;3 @laurenvoswinkel &amp; @ModelViewMedia https://t.co/TL279xMbQj
593126878086586369,Tue Apr 28 18:57:22 +0000 2015,parody_bit,Coral,moving somewhere,@mudlock I thought that was a federal law? NOBODY can be punished for #talkpay ?
